"variable","p_value"
"BD",0.311441105881384
"CEC",0.0489595609754048
"Fragm",1.27144560444026e-08
"Sand",0.00671671066756854
"Silt",0.0739623747171058
"Clay",0.0724326777343103
"N",8.16841625541626e-06
"OCD",0.00260267321398322
"pH",3.88163812077997e-05
"SOC",0.220739709272934
