"Zone","BD","CEC","Fragm","Sand","Silt","Clay","N","OCD","pH","SOC"
1,1.36642982562383,13.4471648534139,15.4192489782969,78.5885861714681,12.8726342519124,8.50248992443085,3.19034827748934,14.3377764225006,7.48474899927775,13.9165278275808
2,1.37267398834229,13.7552940265552,16.8809576550046,78.7941162521775,12.7445076865119,8.42040533632846,3.09039816985259,14.2164384223319,7.6786876369167,14.0046867422155
3,1.38277966635568,14.2980240867251,15.6963197617304,77.3699151901972,13.637172290257,9.0112153234936,2.42067172981444,13.273299126398,7.66353950046358,12.5021533057803
4,1.38245916843414,13.7708375930786,17.4322771835327,78.6116259765625,12.912663230896,8.46808502197266,3.43160225868225,14.2985027694702,7.7068542098999,14.6391570663452
5,1.38019791245461,13.9645092487335,17.7964825630188,79.2862758636475,12.5917677879333,8.10238540172577,4.3887243270874,15.7786393165588,7.68960189819336,13.5605227947235
